X,Y,OBJECTID,GLOBALID,DAMAGE,STRUCTURETYPE
-13143307.7279,4059563.4593,17118,06b1bf8a-fc32-4b8d-bbf9-cb2e11d125ac,No Damage,Infrastructure
-13143322.9089,4059580.1379,17119,582557f3-0162-49d0-a446-cf8cbd199eb6,No Damage,Infrastructure
-13143418.0995,4059698.9947,17120,b73344f1-d09e-4b97-ab39-1736120105ba,No Damage,Infrastructure
-13152091.2482,4056377.59,17121,b7c56415-03d3-4e3e-aeee-3448d4b8b080,No Damage,Single Family Residence Single Story
-13152089.0669,4056364.7963,17122,0b5446cb-fd79-4c7b-bbcb-c9045a8f11fa,No Damage,Utility Misc Structure
-13152046.0158036,4056388.85370178,17123,015209c6-4933-474c-9214-5b0b6afe3fee,Destroyed (>50%),Single Family Residence Single Story
-13151998.2662748,4056421.45827144,17124,3e8cdb4b-4950-43a4-8bf7-8f8111b09ea1,Destroyed (>50%),Single Family Residence Single Story
-13152018.8142,4056413.7404,17125,731fc630-8508-4e3d-92ee-6e264163571a,Destroyed (>50%),Utility Misc Structure
-13152046.5087,4056432.2325,17126,97038120-ca79-4852-a91a-dee3a9456f37,Destroyed (>50%),Single Family Residence Single Story
-13152058.2257,4056420.1897,17127,252e8d72-0403-42a4-a2f4-d413667a7071,Destroyed (>50%),Utility Misc Structure
-13152478.6963,4056057.424,17128,cf78b1f6-a166-4b64-8a7e-3db56bc95da7,Affected (1-9%),Single Family Residence Single Story
-13151258.4966,4056633.329,17129,b2b424e2-6850-4662-a144-d5fcc64d2649,Destroyed (>50%),Single Family Residence Single Story
-13151522.3356,4056807.2894,17130,1452ba31-a773-4f00-bd70-19a167fb099a,Destroyed (>50%),Utility Misc Structure
-13152718.0118,4056059.0573,17131,05b58093-13e8-4275-b72a-1c346d9f8394,Destroyed (>50%),Single Family Residence Single Story
-13152718.8174,4056088.7232,17132,7c0f6c3d-17c0-472f-8775-7564c90ec0a9,Destroyed (>50%),Utility Misc Structure
-13152674.5817,4056055.2453,17133,b352b07c-c61d-47ec-b905-cd6d550cbb0c,Affected (1-9%),Single Family Residence Single Story
-13152461.0941,4056094.6233,17134,20540ea3-d6e0-41e1-a007-68034be5976c,Affected (1-9%),Single Family Residence Single Story
-13152484.1973,4056153.2361,17135,69f3c26d-a456-431e-9f1c-0c2761ae09cd,Destroyed (>50%),Single Family Residence Single Story
-13151143.6068,4056634.7013,17136,116c2e4b-9545-459d-ac61-59c20d6d902a,No Damage,Single Family Residence Single Story
-13151143.1205,4056686.6931,17137,e80b380a-0c14-4654-83dd-c56e794be1fd,Destroyed (>50%),Single Family Residence Single Story
-13152458.7545,4056122.7574,17138,8a1cee6b-c780-482e-94ef-aacc7d8f259c,Destroyed (>50%),Utility Misc Structure
